Locality,Strategy,AUC_structural,AUC_motif_drift
Cap de Creus Natural Park,random,0.5248678682731707,0.04692537380053622
Cap de Creus Natural Park,degree,0.19760324482531544,0.3601433034232284
Cap de Creus Natural Park,betweenness,0.22243747620492035,0.3300540542069619
Chios,random,0.525698462077513,0.04940797261625619
Chios,degree,0.12287255681686542,0.4171301905279154
Chios,betweenness,0.13785539734023902,0.39559078053060653
Spiennes,random,0.46627742056854315,0.08950367544384608
Spiennes,degree,0.09909966587009257,0.414032764740768
Spiennes,betweenness,0.12068092752135019,0.4120779458572101
Harmignies,random,0.4552425024290247,0.0774811775596661
Harmignies,degree,0.0726741762476306,0.47023468827416215
Harmignies,betweenness,0.08139676696054648,0.46575350153229395
Mons,random,0.4893457000079622,0.035924442764155906
Mons,degree,0.08664438226985721,0.4315579314721683
Mons,betweenness,0.10574182032549073,0.431954236011599
Havré,random,0.42952275740685175,0.03849786572891054
Havré,degree,0.07993187980320333,0.42012098944125886
Havré,betweenness,0.10996548794342911,0.37426020771091195
Beloeil,random,0.4469337387655534,0.035511445886754464
Beloeil,degree,0.051873290402587216,0.5197355441010263
Beloeil,betweenness,0.07347955199113271,0.5117783483265717
Bernissart,random,0.44049062049062043,0.1317788272333727
Bernissart,degree,0.11565656565656567,0.5318181818181817
Bernissart,betweenness,0.14163059163059166,0.5318181818181817
Hyon,random,0.5698183825405816,0.04552439592165455
Hyon,degree,0.14402252025286882,0.36065267037983295
Hyon,betweenness,0.156821601810649,0.35794009960391016
Péruwelz,random,0.3501984126984127,0.27931547619047614
Péruwelz,degree,0.11969696969696968,0.4472222222222222
Péruwelz,betweenness,0.12045454545454545,0.45576923076923076
Hensies,random,0.4586046332140082,0.018085637397091955
Hensies,degree,0.06089886675824176,0.475
Hensies,betweenness,0.14522877296314796,0.475
Spienne,random,0.523849598114304,0.05265507187820861
Spienne,degree,0.1802303089067795,0.3675271989673612
Spienne,betweenness,0.17570542202895142,0.3839977872026553
La Louvière,random,0.3563907324315478,0.06355253117549114
La Louvière,degree,0.07228540092832085,0.5042870902059591
La Louvière,betweenness,0.10821947889026258,0.5042870902059591
Tournai,random,0.3769047619047619,0.3610400682011935
Tournai,degree,0.09722222222222222,0.55
Tournai,betweenness,0.09722222222222222,0.55
Saint-Ghislain,random,0.31713130619380625,0.2993313953488372
Saint-Ghislain,degree,0.15657883782883783,0.3690406976744186
Saint-Ghislain,betweenness,0.17985417360417363,0.389922480620155
Ecaussines,random,0.15445209327341125,0.3558578987150416
Ecaussines,degree,0.08620998106845076,0.41798941798941797
Ecaussines,betweenness,0.0935359883944581,0.41798941798941797
Obourg,random,0.48339367101516595,0.06580056363573171
Obourg,degree,0.12154202230663999,0.38165478510306095
Obourg,betweenness,0.17372967677703077,0.3506457196112368
Jemappes,random,0.5,0.186734693877551
Jemappes,degree,0.1761904761904762,0.5285714285714285
Jemappes,betweenness,0.1761904761904762,0.5285714285714285
Antoing,random,0.34587194551480266,0.2941751700680272
Antoing,degree,0.09991793920365348,0.46904761904761905
Antoing,betweenness,0.10037581466152895,0.47637362637362635
Braine-le-Comte,random,0.4266450216450216,0.17705627705627705
Braine-le-Comte,degree,0.14393939393939392,0.454978354978355
Braine-le-Comte,betweenness,0.1699134199134199,0.454978354978355
Nouvelles,random,0.31212772825872664,0.07853064224332881
Nouvelles,degree,0.08167823667386193,0.5107862903225806
Nouvelles,betweenness,0.12515829827892352,0.5107862903225806
Ciply,random,0.5257503607503607,0.11304112554112553
Ciply,degree,0.179004329004329,0.4257575757575757
Ciply,betweenness,0.20930735930735928,0.4257575757575757
Quaregnon,random,0.5055584035847195,0.06371031623475046
Quaregnon,degree,0.12053909283011449,0.4028207310729654
Quaregnon,betweenness,0.11703032090028993,0.4286399962169575
Warchin,random,0.4361507936507936,0.1558823529411765
Warchin,degree,0.13055555555555554,0.48970588235294116
Warchin,betweenness,0.13055555555555554,0.48970588235294116
Colfontaine,random,0.5055555555555555,0.2607142857142857
Colfontaine,degree,0.15,0.5166666666666666
Colfontaine,betweenness,0.15,0.5166666666666666
Le Roeulx,random,0.3845300532800533,0.07978219696969696
Le Roeulx,degree,0.06906478937728937,0.553125
Le Roeulx,betweenness,0.06906478937728937,0.553125
Charleroi,random,0.5526455026455026,0.0434894465018273
Charleroi,degree,0.1879518766570956,0.3721490379875473
Charleroi,betweenness,0.18245415800148218,0.37946543156269597
Dour,random,0.39563973154659426,0.05221754895667938
Dour,degree,0.12822305236520923,0.44017094017094016
Dour,betweenness,0.1672610749816632,0.44017094017094016
Anderlues,random,0.1864720749336134,0.37521367521367516
Anderlues,degree,0.10680174526328375,0.43076923076923074
Anderlues,betweenness,0.184094452555991,0.36709401709401707
Boussu,random,0.4896957030499078,0.10091341730692935
Boussu,degree,0.15099434894620492,0.3702252944188428
Boussu,betweenness,0.2117649985300001,0.28764026518612223
Courcelles,random,0.33324351323770834,0.11299261132953156
Courcelles,degree,0.10239923432260893,0.39915770609318996
Courcelles,betweenness,0.11688230027626313,0.4058243727598566
Châtelet,random,0.46428571428571425,0.1489795918367347
Châtelet,degree,0.16666666666666663,0.4061224489795918
Châtelet,betweenness,0.16666666666666663,0.4061224489795918
Maisières,random,0.36359991671800607,0.2118652379467729
Maisières,degree,0.12776043840838178,0.4360378634212306
Maisières,betweenness,0.16904760984261205,0.3955149876042371
Cartigliano,random,0.4854128954300134,0.074697298270643
Cartigliano,degree,0.10148210949754355,0.38524181205999386
Cartigliano,betweenness,0.11692974202825626,0.35928002123580194
Quero Vas,random,0.5459506262490129,0.06794642726884315
Quero Vas,degree,0.11771417758792652,0.3971791491321989
Quero Vas,betweenness,0.12640712390765407,0.40597078012491544
Fonzaso,random,0.4416400862194811,0.08998019103105641
Fonzaso,degree,0.10417210301022123,0.4268522625719884
Fonzaso,betweenness,0.10967208205819487,0.3869670770534742
Imer,random,0.5039248354783674,0.02359222757382538
Imer,degree,0.14887481293284632,0.37625452655770797
Imer,betweenness,0.17280876686340627,0.3605516028041079
Tonadico,random,0.44806133825366096,0.08809771010256909
Tonadico,degree,0.11120654605238861,0.3868334489100339
Tonadico,betweenness,0.12583212344663458,0.34612557152304535
Canal San Bovo,random,0.502571707535058,0.10052433301125109
Canal San Bovo,degree,0.11994941444831995,0.42151028810933855
Canal San Bovo,betweenness,0.12064208127941145,0.3986766903407546
Grigno,random,0.48085303645591304,0.07048442955606346
Grigno,degree,0.13100594112383535,0.34916068433351977
Grigno,betweenness,0.14654127734661596,0.3292384337028861
Borgo Valsugana,random,0.5361727661141492,0.11515877938808272
Borgo Valsugana,degree,0.10401998447263099,0.4071748461946806
Borgo Valsugana,betweenness,0.11902682719405672,0.372806722474467
Scurelle,random,0.4981614768041892,0.08049005477059311
Scurelle,degree,0.11067314486655444,0.4141204880935087
Scurelle,betweenness,0.11144440021145319,0.4390198157038058
Pergine Valsugana,random,0.5396657750807783,0.07648620517632244
Pergine Valsugana,degree,0.16052819227380505,0.3653091895041124
Pergine Valsugana,betweenness,0.1598029354129756,0.3686926413037728
Costabissara,random,0.49730778916586627,0.041721439986166405
Costabissara,degree,0.194449839409782,0.3421240347747975
Costabissara,betweenness,0.20081943534243138,0.3234276412278111
Colle Santa Lucia,random,0.5305286323628642,0.011331332542855718
Colle Santa Lucia,degree,0.09692042735383706,0.3711071286340103
Colle Santa Lucia,betweenness,0.11961404187462799,0.3898674404050748
San Vito di Cadore,random,0.2928794298953659,0.0806765991064908
San Vito di Cadore,degree,0.07430174104977054,0.45987654320987653
San Vito di Cadore,betweenness,0.09444066262517975,0.49629629629629624
Cortina d Ampezzo,random,0.35497813818126317,0.07286055606329161
Cortina d Ampezzo,degree,0.08663276827339327,0.37521176739926737
Cortina d Ampezzo,betweenness,0.1164938793845044,0.4250686813186813
Livinallongo del Col di Lana,random,0.35462022118596515,0.13589007320301752
Livinallongo del Col di Lana,degree,0.05353625613141184,0.471447455386649
Livinallongo del Col di Lana,betweenness,0.09154024560598956,0.471447455386649
Auronzo di Cadore,random,0.3747593148158433,0.11503061914868956
Auronzo di Cadore,degree,0.10033483332449547,0.38695752071697775
Auronzo di Cadore,betweenness,0.11180275365740434,0.4215332343880261
Zoldo Alto,random,0.5223796534299325,0.05233903833891432
Zoldo Alto,degree,0.1120141194167916,0.3615822355439487
Zoldo Alto,betweenness,0.13763926355067596,0.3149516127486677
Nervesa della Battaglia,random,0.41633683157120654,0.08580586527589322
Nervesa della Battaglia,degree,0.10754050636863137,0.4108202561327561
Nervesa della Battaglia,betweenness,0.10344824446386947,0.3711186383061383
Volpago del Montello,random,0.29953344836763873,0.09833516082720489
Volpago del Montello,degree,0.08624220075104447,0.44205610926541156
Volpago del Montello,betweenness,0.08851511624135126,0.46663486384416614
Canazei,random,0.3593471246690198,0.049633681834834256
Canazei,degree,0.1104657340214089,0.3554180906812485
Canazei,betweenness,0.1308191576128188,0.348881742467187
Corvara in Badia,random,0.3892546708459317,0.02974802041308732
Corvara in Badia,degree,0.0943236773468268,0.43217632817516183
Corvara in Badia,betweenness,0.12075864686334711,0.4162558817993601
Falcade,random,0.3506710790610105,0.12438576344176047
Falcade,degree,0.15822729625695897,0.3521367521367521
Falcade,betweenness,0.13403945317404728,0.3687998869817051
Castello Molina di Fiemme,random,0.3773323394214398,0.05053655649869129
Castello Molina di Fiemme,degree,0.12484397810954904,0.34257703081232493
Castello Molina di Fiemme,betweenness,0.13137992582196734,0.31925770308123247
Calamento,random,0.27292698042698044,0.15728828337523992
Calamento,degree,0.07237318237318238,0.4985060690943044
Calamento,betweenness,0.09755836755836757,0.48263305322128847
Telve,random,0.40071959559188663,0.08663597507535174
Telve,degree,0.09218174111749963,0.4626563284449199
Telve,betweenness,0.10521607950013522,0.42537433803512353
Cismon del Grappa,random,0.29059558434716654,0.06119064094440291
Cismon del Grappa,degree,0.0980237566673381,0.37705504372171034
Cismon del Grappa,betweenness,0.11259959019054004,0.3911964578631245
Avio,random,0.3667564554190903,0.04811950275228073
Avio,degree,0.054075277875669264,0.43670592972918554
Avio,betweenness,0.08412664445338633,0.41711506307949536
Montebelluna,random,0.29955971234248807,0.016055945637917315
Montebelluna,degree,0.04628434516518252,0.4818451042135252
Montebelluna,betweenness,0.04628434516518252,0.4818451042135252
Valdobbiadene,random,0.5736068843866832,0.04019730142167986
Valdobbiadene,degree,0.1543718435417352,0.41411382734912144
Valdobbiadene,betweenness,0.15745921884273278,0.4088636363636363
Schio,random,0.5384156172237465,0.06687231514694862
Schio,degree,0.1337818642378889,0.35248566426592953
Schio,betweenness,0.13105804365063506,0.3361195575465619
Bassano del Grappa,random,0.4124148946355838,0.12151442832380559
Bassano del Grappa,degree,0.10589437633454324,0.43361717758632207
Bassano del Grappa,betweenness,0.10589437633454324,0.43361717758632207
Isola Vicentina,random,0.4870611466472358,0.0653893064692524
Isola Vicentina,degree,0.11904091780252772,0.37321085362840123
Isola Vicentina,betweenness,0.12225997579132253,0.3966291816961004
Pove del Grappa,random,0.428702968081581,0.036315685272624056
Pove del Grappa,degree,0.14300369736780563,0.3512155252703807
Pove del Grappa,betweenness,0.13276659147852582,0.34860938945445985
Fontaniva,random,0.3176757560039626,0.10020982619654016
Fontaniva,degree,0.10776666550830036,0.394106568941006
Fontaniva,betweenness,0.12565311060728523,0.35406952601908603
Cordenons,random,0.4289303097203458,0.02299642987807122
Cordenons,degree,0.10779640364361202,0.43759332454984623
Cordenons,betweenness,0.12560747437094905,0.4127974203018872
Romano d Ezzelino,random,0.28323082863179105,0.07429238168083283
Romano d Ezzelino,degree,0.07376104064525285,0.47591947348044905
Romano d Ezzelino,betweenness,0.08328485016906238,0.46897502903600463
Roana,random,0.4992425270203048,0.08017625661486097
Roana,degree,0.12723690615847477,0.3803516654880967
Roana,betweenness,0.14020607660313542,0.33977461960401356
Santorso,random,0.46711296508952416,0.0358258571356072
Santorso,degree,0.09389093356640901,0.40758848994143115
Santorso,betweenness,0.10632411196597397,0.39556182121971595
Ronchi Valsugana,random,0.45565593616625527,0.035537911791778
Ronchi Valsugana,degree,0.13810998362786986,0.4017355886839687
Ronchi Valsugana,betweenness,0.16595208656676175,0.3320525067830077
Bosco Chiesanuova,random,0.49533194273906345,0.08225327077167661
Bosco Chiesanuova,degree,0.050318860586325925,0.5169343292872705
Bosco Chiesanuova,betweenness,0.06558296604608356,0.5202676626206038
Andreis,random,0.37353037695805663,0.13086936117986034
Andreis,degree,0.08241538040413668,0.48516453516453517
Andreis,betweenness,0.08488805070289394,0.5023068523068523
Valli del Pasubio,random,0.4050974896563132,0.12826922048556763
Valli del Pasubio,degree,0.07700118508942037,0.4064211737629459
Valli del Pasubio,betweenness,0.09544719985896456,0.44951007890369477
Vallarsa,random,0.28176661185621077,0.12892869578486205
Vallarsa,degree,0.06516063847889715,0.4289437234234109
Vallarsa,betweenness,0.07067921277717688,0.4230214353979884
Camisano Vicentino,random,0.5576177192697425,0.03868432251831853
Camisano Vicentino,degree,0.20373087135705487,0.3823729859672378
Camisano Vicentino,betweenness,0.22128195568724254,0.37319283107979184
Borgoricco,random,0.5466167492824558,0.07304323753222826
Borgoricco,degree,0.19010488936627704,0.3790600182845411
Borgoricco,betweenness,0.19405694104094953,0.365670458480687
Piazzola sul Brenta,random,0.5132128584242555,0.11869771613280485
Piazzola sul Brenta,degree,0.21891826622380026,0.36847269684720985
Piazzola sul Brenta,betweenness,0.23042897467384693,0.3359862183082934
Chize,random,0.5500848290237099,0.10039781430518754
Chize,degree,0.13488927190449093,0.41211368455853403
Chize,betweenness,0.14580049549964114,0.3813674190940204
Mt. Lesima (Brallo di Pregola),random,0.3494494589156068,0.258999469490229
Mt. Lesima (Brallo di Pregola),degree,0.06166750402838882,0.4482471475892528
Mt. Lesima (Brallo di Pregola),betweenness,0.08493483911847932,0.4513847994111152
Coimbra,random,0.49837873196127563,0.10247462742131494
Coimbra,degree,0.10136944874801752,0.4165424297071396
Coimbra,betweenness,0.12480083477333678,0.3793690781782347
Côte d'or,random,0.45865813172202563,0.09343794619279643
Côte d'or,degree,0.07424918760860508,0.42474135267694346
Côte d'or,betweenness,0.0881251587217769,0.40250477526295897
Scania,random,0.5361674044724699,0.06602387800424948
Scania,degree,0.07470357241122219,0.4430455716361718
Scania,betweenness,0.08614279410796846,0.4412508273342232
North_Central_Estonia,random,0.6,0.0
North_Central_Estonia,degree,0.02857142857142857,0.5714285714285715
North_Central_Estonia,betweenness,0.02857142857142857,0.5714285714285715
South_Estonia,random,0.5777777777777777,0.0222222222222222
South_Estonia,degree,0.027777777777777776,0.5722222222222222
South_Estonia,betweenness,0.027777777777777776,0.5722222222222222
Horbylunde_2005,random,0.5561810847823784,0.027585394651185105
Horbylunde_2005,degree,0.04304524304524304,0.5284012013939021
Horbylunde_2005,betweenness,0.04377784377784378,0.4885359571490958
Isen_Bjerg_2004,random,0.5750209361444637,0.01739259204259838
Isen_Bjerg_2004,degree,0.06156448225048071,0.48633892933867146
Isen_Bjerg_2004,betweenness,0.06363394561825834,0.48132911431070746
Isen_Bjerg_2005,random,0.5469880724196523,0.028559457532711437
Isen_Bjerg_2005,degree,0.04754797813553574,0.5020714702110983
Isen_Bjerg_2005,betweenness,0.04754797813553574,0.5020714702110983
Skov_Olesen_2004,random,0.5385057250442525,0.04804422209544481
Skov_Olesen_2004,degree,0.07269676370239139,0.48053494845250067
Skov_Olesen_2004,betweenness,0.07471616725481381,0.4731394843690991
Orozko,random,0.5694986003824153,0.050310133008501096
Orozko,degree,0.1291445011025665,0.38880386743788004
Orozko,betweenness,0.14093613262359267,0.38988073874214424
Blandas,random,0.5691493970605047,0.03929830982467536
Blandas,degree,0.17617318803725857,0.38758296236659145
Blandas,betweenness,0.17786302961389278,0.34700174250607185
Les Andelys,random,0.536939762745945,0.035385279818185844
Les Andelys,degree,0.15829166310446005,0.38347504891241274
Les Andelys,betweenness,0.17990081159511717,0.3611218509363424
Giverny,random,0.5555511980075227,0.0651967690670981
Giverny,degree,0.17258652898856347,0.3688704514078318
Giverny,betweenness,0.17927503823678081,0.33950028073534155
Grouches Luchuel,random,0.5640493708814788,0.03599259899763307
Grouches Luchuel,degree,0.1772172340187046,0.36415237629761116
Grouches Luchuel,betweenness,0.1895696464936661,0.33148676533141286
Noeux-lès-Auxi,random,0.5504458886177249,0.08613514560104694
Noeux-lès-Auxi,degree,0.1739245165588584,0.3917696953985437
Noeux-lès-Auxi,betweenness,0.20913936569627023,0.35737320061804256
Parco dei Gessi Bolognesi e Calanchi dell'Abbadessa,random,0.5272612418326428,0.08144595738580813
Parco dei Gessi Bolognesi e Calanchi dell'Abbadessa,degree,0.1245321494984976,0.42441757680679215
Parco dei Gessi Bolognesi e Calanchi dell'Abbadessa,betweenness,0.14389656006356602,0.3857836181728335
Aznalcazar,random,0.49402180104698556,0.059990827329849915
Aznalcazar,degree,0.07430909670040105,0.4545803128185365
Aznalcazar,betweenness,0.07835767969635246,0.4545803128185365
Bonares,random,0.419216163953006,0.08818964619728137
Bonares,degree,0.09723082215342276,0.43978652926021344
Bonares,betweenness,0.09238046095631233,0.4039197644460802
Convento_de_la_luz,random,0.41404675571342237,0.09430510829005737
Convento_de_la_luz,degree,0.11865857454092749,0.40124004791094203
Convento_de_la_luz,betweenness,0.11976510689745984,0.428169989901125
Cotito_de_santa_teresa,random,0.2814706535294771,0.08591954022988504
Cotito_de_santa_teresa,degree,0.1323704481792717,0.3817369093231162
Cotito_de_santa_teresa,betweenness,0.11938967894850248,0.3984674329501916
El_pinar,random,0.3095327291755863,0.18185483870967742
El_pinar,degree,0.11136482565053993,0.4465437788018433
El_pinar,betweenness,0.11136482565053993,0.4465437788018433
El_pozo,random,0.5617032967032967,0.049664509279893895
El_pozo,degree,0.10431235431235433,0.42167832167832164
El_pozo,betweenness,0.10431235431235433,0.42167832167832164
Esparragal,random,0.3245032745032745,0.26796398046398046
Esparragal,degree,0.14650349650349653,0.41526806526806526
Esparragal,betweenness,0.12086247086247089,0.4192307692307692
La_cunya,random,0.28833556559773843,0.13949365671308392
La_cunya,degree,0.10087075064910696,0.4484848484848485
La_cunya,betweenness,0.1180483099319294,0.446043771043771
La_rocina,random,0.44016336275081563,0.03130201794861626
La_rocina,degree,0.07330405366732598,0.4744563492063492
La_rocina,betweenness,0.07330405366732598,0.4744563492063492
Las_mulas,random,0.5536072845283371,0.12194622978810825
Las_mulas,degree,0.07914946680426556,0.44175678923335737
Las_mulas,betweenness,0.08666826379674676,0.4443883681807258
Niebla,random,0.377222260797563,0.10497284278974417
Niebla,degree,0.06617821211511289,0.43966020415753293
Niebla,betweenness,0.06617821211511289,0.43966020415753293
Pinares_de_hinojos,random,0.11128942184305507,0.5345172031076582
Pinares_de_hinojos,degree,0.07575763337009012,0.5345172031076582
Pinares_de_hinojos,betweenness,0.07575763337009012,0.5345172031076582
Pino_del_cuervo,random,0.46985571617924554,0.12293898474819528
Pino_del_cuervo,degree,0.08660390081958709,0.4846153846153846
Pino_del_cuervo,betweenness,0.08660390081958709,0.4846153846153846
Urbanizaciones,random,0.48528781494467765,0.058202545134312084
Urbanizaciones,degree,0.09969849050731404,0.46565656565656566
Urbanizaciones,betweenness,0.09908155569920275,0.4321969696969697
Villamanrique_este,random,0.3176610270347651,0.2850218321067644
Villamanrique_este,degree,0.03980801806888763,0.5528101802757157
Villamanrique_este,betweenness,0.03980801806888763,0.5528101802757157
Villamanrique_sur,random,0.2327137387895902,0.2730147737765466
Villamanrique_sur,degree,0.07443486166396383,0.5113573407202217
Villamanrique_sur,betweenness,0.09130395748042808,0.5113573407202217
Goettingen,random,0.5226971394229339,0.09814129775943278
Goettingen,degree,0.1313007816260243,0.42472884126871635
Goettingen,betweenness,0.14256127070641494,0.415007986474205
Allersdorf,random,0.25569708069708064,0.2796825396825397
Allersdorf,degree,0.09983793983793983,0.5177777777777778
Allersdorf,betweenness,0.15671624671624673,0.5222222222222221
Bieberbach,random,0.41987119627019015,0.0330871842640678
Bieberbach,degree,0.04571422428620571,0.5485507246376811
Bieberbach,betweenness,0.11200140932339075,0.5485507246376811
Bindlacher Berg,random,0.4640894819616073,0.094709052440723
Bindlacher Berg,degree,0.10728467412846199,0.38737783397603676
Bindlacher Berg,betweenness,0.13960010952918167,0.3874111340093368
Friesen,random,0.3319104084601628,0.1268795128641101
Friesen,degree,0.06063116892309439,0.4429119435384773
Friesen,betweenness,0.07953329117550412,0.4429119435384773
Großenohe,random,0.1716228435607836,0.048110766045548654
Großenohe,degree,0.06466536937824548,0.4467391304347826
Großenohe,betweenness,0.08252356000531481,0.4757246376811594
Haselbrunn,random,0.1593445535421627,0.15564112343288541
Haselbrunn,degree,0.05286024977584562,0.47559074912016086
Haselbrunn,betweenness,0.08842966904435992,0.47478632478632476
Hohe Leite,random,0.31289904721277273,0.2819220019619819
Hohe Leite,degree,0.06942015410152665,0.45696040868454657
Hohe Leite,betweenness,0.11223721358525279,0.45696040868454657
Kainach,random,0.28120146264972357,0.051711118474793094
Kainach,degree,0.06402967204072742,0.4260869565217391
Kainach,betweenness,0.1057045189329656,0.4260869565217391
Kalkberg,random,0.3270237454852839,0.18891108891108885
Kalkberg,degree,0.07999521845675692,0.5615384615384615
Kalkberg,betweenness,0.1565886250501635,0.5615384615384615
Kleinziegenfeld,random,0.31464212270133657,0.028766880863745112
Kleinziegenfeld,degree,0.07418264870888372,0.4367372881355932
Kleinziegenfeld,betweenness,0.11432350784974285,0.4367372881355932
Köttel,random,0.22126243493559888,0.24015580643249046
Köttel,degree,0.050623002763995464,0.49766702014846237
Köttel,betweenness,0.09616258395575054,0.49766702014846237
Leidingshof,random,0.3088957049213074,0.15299502519345293
Leidingshof,degree,0.10269675202932713,0.4417037703675635
Leidingshof,betweenness,0.11483696352124047,0.43098435329038776
Neubürg,random,0.33771421314062317,0.03945187492246313
Neubürg,degree,0.06037780155262994,0.47688888888888886
Neubürg,betweenness,0.07765304208362493,0.47244444444444444
Oberailsfeld,random,0.4322172707820439,0.08263055414973572
Oberailsfeld,degree,0.08949027152085437,0.4742894786373047
Oberailsfeld,betweenness,0.11763113066171349,0.47618914418914415
Pottenstein,random,0.21215620808500066,0.37758004153411096
Pottenstein,degree,0.05952374809572951,0.546
Pottenstein,betweenness,0.11200140932339075,0.546
Schirradorf,random,0.18112281412220838,0.32024756852343056
Schirradorf,degree,0.06237527472073483,0.4946728558797524
Schirradorf,betweenness,0.09803519172680566,0.4946728558797524
Schützengräben,random,0.5198548794200968,0.021025802220904312
Schützengräben,degree,0.07618866005593693,0.44803312629399583
Schützengräben,betweenness,0.07639569939341107,0.46401279879540747
Spitzberg,random,0.3241054744947479,0.03296890662619562
Spitzberg,degree,0.07602332788318947,0.41447963800904974
Spitzberg,betweenness,0.12135903792478187,0.41447963800904974
Tiefenellern,random,0.44274280726071974,0.03914468871077936
Tiefenellern,degree,0.07460311610024127,0.5028910303928836
Tiefenellern,betweenness,0.10301755880039826,0.5028910303928836
Wallersberg,random,0.32887560851846565,0.061564625850340136
Wallersberg,degree,0.05769230769230768,0.475
Wallersberg,betweenness,0.05769230769230768,0.475
Wattendorf,random,0.4312554112554112,0.15656565656565657
Wattendorf,degree,0.18131313131313131,0.403030303030303
Wattendorf,betweenness,0.253044733044733,0.41186868686868683
Wiesenthau,random,0.43058248940601884,0.029762426800411957
Wiesenthau,degree,0.06607950872656755,0.4889749911940824
Wiesenthau,betweenness,0.10212271388741975,0.4889749911940824
Wonsees,random,0.3490972634570618,0.08157047255197492
Wonsees,degree,0.10800025469845924,0.41823378924219257
